participant,free_texts,feedback,fertility_score,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_stripes,testing_categories,conditionOrder,training_image_order,attention_check,cogpro_predict,cogpro_explain,relevant_dim,irrelevant_dim,feet_high,stripes_low,stripes_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,stripes_discrete_slider.response,stripes_direction_slider.response,stripes_continuous_slider.response
010,"['It has webbed feet', 'the feet are not webbed', 'The tail is angled up a bit', 'Tail is angled up a bit more', 'webbed feet\xa0', 'strips angle downward', 'the strips are angled downward and feet are webbed', 'strips are sideways and feet are not webbed']",['It took a while for me to associate the description of the stripes'],"[3.0, 1.0, 5.0, 7.0, 5.0, 4.0, 2.0, 7.0]",611.7421,"['E_C', 'E_F', 'W_C', 'W_F']","[4.0, 2.0, 8.0, 6.0]","['low', 'low', 'high', 'high', 'high', 'low', 'low', 'high']","['F', 'C', 'F', 'C', 'F', 'C', 'F', 'C']","['E', 'E', 'W', 'W', 'W', 'E', 'E', 'W']","['low', 'low', 'high', 'high']",10,"['E_F', 'E_C', 'W_F', 'W_C', 'W_F', 'E_C', 'E_F', 'W_C']",0,5.0,6.0,stripes,feet,C,E,W,F,Yes, Curved/Pointy,5.0,Yes,Up/Left,6.0
014,"['Stripes down to the left', 'Stripes down to the right', 'Because of the claw toes', 'Because of the claw toes', 'Stripes down to the right and webbed feet\xa0', 'Claw like feet', 'Stripes down to the left\xa0', 'Stripes down to the left or up to the right\xa0']",['It was good. I missed the feet in the first picture so that through me off a bit.\xa0'],"[3.0, 8.0, 7.0, 7.0, 8.0, 8.0, 2.0, 1.0]",242.326,"['E_F', 'E_C', 'W_C', 'W_F']","[3.0, 8.0, 8.0, 8.0]","['low', 'high', 'low', 'high', 'high', 'high', 'low', 'low']","['F', 'F', 'C', 'C', 'F', 'C', 'F', 'C']","['E', 'W', 'E', 'W', 'W', 'W', 'E', 'E']","['low', 'low', 'high', 'high']",14,"['E_F', 'W_F', 'E_C', 'W_C', 'W_F', 'W_C', 'E_F', 'E_C']",1,6.0,3.0,stripes,feet,C,E,W,F,Yes, Curved/Pointy,4.0,Yes,Up/Left,6.0
037,"[""Large frontal eyes for better target acquisition.Predominately with darker green stripes would allow it to break it's visual identity at distance.Potentially webbed feet that allows to have broader travel options."", ""Clawed feet, suited for ground or tree canopy travel, putting it in most places of it's predators.Could possibly dig burrows but not great when avoiding snakes.Lines heading towards plainer sections of body, might act as focus way for predators vision."", 'Line pattern draws away from face and breaks visual identification pattern.Clawed feet indicate ground or tree canopy travel.Higher fertility rate may be an indication of some ecological change like less predators or change in climate that was more optimal.', 'Lines toward plain sections may be easier for predators to identify.Webbed feet may mean more options of travel.Eggs probably laid in sub-optimal places but vary enough to hit average.', 'Good line patterns for breaking visual identity.Webbed feet indicating larger range.Score might be an indication of ecological change, like a drought or something affecting the water making egg survival rate lower.', 'Webbed feet indicating some aquatic adaptation. Fertility score may have been impacted by quality or availability of water sources.Skin pattern also appears focused towards plainer sections making the individual stand out to predators as well.', 'Clawed feet, so either ground or tree living adaptation. Pattern on skin is better for breaking up visual identification. Score might be an indication of just a good year.', 'Less than ideal adaptation but decent score.Maybe an indicator of the overall ecological state of the year like less predators or engagement with predators.']",[],"[5.0, 3.0, 8.0, 5.0, 3.0, 3.0, 7.0, 7.0]",1231.3761,"['W_C', 'E_F', 'W_F', 'E_C']","[6.0, 5.0, 8.0, 5.0]","['low', 'high', 'high', 'low', 'low', 'low', 'high', 'high']","['F', 'C', 'C', 'F', 'F', 'F', 'C', 'C']","['E', 'W', 'E', 'W', 'E', 'W', 'E', 'W']","['high', 'low', 'low', 'high']",37,"['E_F', 'W_C', 'E_C', 'W_F', 'E_F', 'W_F', 'E_C', 'W_C']",0,7.0,7.0,feet,stripes,C,W,E,F,Yes,Webbed,6.0,Yes, Up/Right,5.0
013,"['cute frog, lives in a ecologically diverse but prone to small climate changes that make big effects to species survival, so many offspring may not survive', 'same as before. climate may have gotten worse, and since they are sensitive to climate changes, reduced offspring count', 'probably horrible climate conditions now', ""don't quite understand, aren't I seeing the same reptile?"", 'perfect climate, perfect conditions for breeding.', 'same as before, possibly some changes happening in climate', 'great conditions agi', 'horrible conditions and climate changes']","[""I felt like if you really didn't know what to look for you couldn't tell the difference between the frogs.""]","[5.0, 2.0, 1.0, 5.0, 10.0, 5.0, 10.0, 2.0]",215.0201,"['W_F', 'W_C', 'E_F', 'E_C']","[8.0, 8.0, 10.0, 8.0]","['high', 'low', 'low', 'high', 'high', 'low', 'high', 'low']","['C', 'F', 'F', 'C', 'C', 'F', 'C', 'F']","['W', 'E', 'W', 'E', 'E', 'W', 'W', 'E']","['low', 'high', 'low', 'high']",13,"['W_C', 'E_F', 'W_F', 'E_C', 'E_C', 'W_F', 'W_C', 'E_F']",1,4.0,5.0,feet,stripes,C,E,W,F,Yes,Webbed,4.0,Yes, Up/Right,4.0
025,"['this reptile has curly feet and stripes angled up and right, resulting in a modarate fertility of score 6.', 'this reptile received a lower fertility score 3, compared to the first one its feet are now webbed instaid of curly', 'this reptile has high fertility and it has stripe direction , this strongly indicate that strip angled up are major factor of higher fertility.', 'this reptile ha webbed feet and stripes angle and to the right, identical to reptile in the previous round but recived lower scoree, this variation aligns with the instructions stating that the same reptile can hsve different fertility scores across different breeding seasons due to environmental variety.', 'this reptile maints webbed feet and stripes angled up and the right, matching the features and scores of 6 observed previously. This consistent modarate score reinforces that the combination of these traits typically results in stable baseline level of fertility, subject to minor seasonal fluctuation.', 'this reptile received a very low fertility score, generally lower fertility rates across different breeding saesons', 'this received a higher fertility , this partnern matches angled stripes and webbed feet consistently', 'sripes angled and left constantly same score regardless of the season']",['none'],"[6.0, 3.0, 8.0, 6.0, 6.0, 2.0, 7.0, 2.0]",1383.2304,"['E_C', 'W_C', 'W_F', 'E_F']","[2.0, 6.0, 7.0, 3.0]","['high', 'low', 'high', 'low', 'high', 'low', 'high', 'low']","['C', 'F', 'C', 'F', 'C', 'F', 'C', 'F']","['E', 'E', 'W', 'W', 'W', 'W', 'E', 'E']","['high', 'high', 'low', 'low']",25,"['E_C', 'E_F', 'W_C', 'W_F', 'W_C', 'W_F', 'E_C', 'E_F']",0,4.0,5.0,feet,stripes,C,E,W,F,Yes,Webbed,3.0,Yes, Up/Right,6.0
003,"[""The fertility score of 5 is largely speculative because the image does not provide enough information to determine reproductive biology. Traits such as clutch size, breeding frequency, parental investment, and habitat-driven reproductive strategies cannot be accurately inferred from a cartoon reptile's appearance alone. Any fertility rating should therefore be treated as a guess rather than an evidence-based conclusion.\r\n"", ""This justification relies on assumptions that are not directly supported by the image. While a midrange fertility score of 5 may seem reasonable, factors such as clutch size, reproductive frequency, offspring survival rates, and habitat effects cannot be accurately determined from a cartoon reptile's appearance. The explanation extrapolates biological traits that are not visible and may not apply to the depicted creature. A more cautious assessment would note that there is insufficient information to make a confident fertility estimate, making any numerical score largely speculative.\r\n"", '\r\n""There is insufficient information to estimate fertility from the image alone. The depicted animal appears reptile-like, but reproductive characteristics such as clutch size, breeding frequency, and offspring survival cannot be determined from visual appearance. Any fertility score would therefore be highly speculative.\r\n\r\n', 'There is insufficient information to estimate fertility from the image alone. The depicted animal appears reptile-like, but reproductive characteristics such as clutch size, breeding frequency, and offspring survival cannot be determined from visual appearance. Any fertility score would therefore be highly speculative.\r\n\r\n', 'The breeding geound was good', 'There is insufficient information to estimate fertility from the image alone. The depicted animal appears reptile-like, but reproductive characteristics such as clutch size, breeding frequency, and offspring survival cannot be determined from visual appearance. Any fertility score would therefore be highly speculative.\r\n\r\n', 'It was good', 'Best']",[],"[5.0, 6.0, 6.0, 4.0, 9.0, 2.0, 6.0, 5.0]",704.2368,"['E_F', 'E_C', 'W_F', 'W_C']","[8.0, 6.0, 6.0, 7.0]","['low', 'high', 'high', 'low', 'high', 'low', 'high', 'low']","['C', 'F', 'F', 'C', 'F', 'C', 'F', 'C']","['E', 'W', 'E', 'W', 'E', 'W', 'W', 'E']","['high', 'low', 'high', 'low']",3,"['E_C', 'W_F', 'E_F', 'W_C', 'E_F', 'W_C', 'W_F', 'E_C']",1,5.0,5.0,feet,stripes,F,W,E,C,Yes,Webbed,6.0,Yes, Up/Right,5.0
030,"['I dont know', 'a lotta stripes', 'Almost as many stripes as 8', 'Same lizard', 'Its blue', 'A lot of stripes', 'It has 3 toes']",[],"[4.0, 4.0, 8.0, 7.0, 6.0, 1.0, 10.0, 4.0]",110.9895,"['W_F', 'E_F', 'W_C', 'E_C']","[3.0, 6.0, 4.0, 7.0]","['low', 'low', 'high', 'high', 'high', 'low', 'high', 'low']","['F', 'C', 'C', 'F', 'C', 'C', 'F', 'F']","['E', 'E', 'W', 'W', 'W', 'E', 'W', 'E']","['high', 'low', 'high', 'low']",30,"['E_F', 'E_C', 'W_C', 'W_F', 'W_C', 'E_C', 'W_F', 'E_F']",1,7.0,7.0,stripes,feet,F,E,W,C,No,,,No,,
032,"['It has the most amount of offsprings', 'It ha the least amount of offsprings', 'It has an average amount of offsprings\xa0', 'It has a good amount of offspings.\xa0', 'It has the minimum amount of offsprings. It’s small', 'It’s average size gives him a little bit of more than average fertility\xa0', 'It’s big so more fertility than average\xa0', 'Average size and average fertility\xa0']",[],"[10.0, 1.0, 6.0, 7.0, 1.0, 6.0, 8.0, 5.0]",491.035,"['E_F', 'E_C', 'W_F', 'W_C']","[5.0, 6.0, 9.0, 6.0]","['high', 'low', 'low', 'high', 'low', 'low', 'high', 'high']","['F', 'F', 'C', 'C', 'C', 'F', 'F', 'C']","['E', 'W', 'W', 'E', 'W', 'W', 'E', 'E']","['high', 'high', 'low', 'low']",32,"['E_F', 'W_F', 'W_C', 'E_C', 'W_C', 'W_F', 'E_F', 'E_C']",0,5.0,6.0,stripes,feet,F,W,E,C,Yes, Curved/Pointy,5.0,Yes, Up/Right,5.0
025,"['Strips that go to the right', 'Webbed toes give a lower rate', 'Stripes up to the left with clawed toes', 'Webbed toes offers a lower rate', 'This season is lower fertility for the combo of claws and upwards left stripes', 'webbed toes lower fertility', 'clawed toes and upwards right lines during the right season', 'Webbed toes lower fertility']",[],"[6.0, 3.0, 8.0, 6.0, 6.0, 2.0, 7.0, 2.0]",295.0725,"['E_C', 'W_C', 'W_F', 'E_F']","[7.0, 8.0, 2.0, 4.0]","['high', 'low', 'high', 'low', 'high', 'low', 'high', 'low']","['C', 'F', 'C', 'F', 'C', 'F', 'C', 'F']","['E', 'E', 'W', 'W', 'W', 'W', 'E', 'E']","['high', 'high', 'low', 'low']",25,"['E_C', 'E_F', 'W_C', 'W_F', 'W_C', 'W_F', 'E_C', 'E_F']",1,6.0,5.0,feet,stripes,C,E,W,F,Yes, Curved/Pointy,6.0,Yes,Up/Left,1.0
012,"['Straight lineswebbed toes', 'slanted lineswebbed toes', 'slanted linescurled toes', 'slanted linescurled toes', 'slanted lineswebbed toes', 'slanted lines pointing downcurled toes', 'slanted lines pointing downwebbed toes', 'slanted linescurled toes']",['Just tried to reason why the stripes could matter'],"[1.0, 8.0, 2.0, 9.0, 10.0, 3.0, 1.0, 8.0]",346.9668,"['W_C', 'W_F', 'E_C', 'E_F']","[4.0, 8.0, 2.0, 7.0]","['low', 'high', 'low', 'high', 'high', 'low', 'low', 'high']","['F', 'F', 'C', 'C', 'F', 'C', 'F', 'C']","['W', 'E', 'W', 'E', 'E', 'W', 'W', 'E']","['low', 'low', 'high', 'high']",12,"['W_F', 'E_F', 'W_C', 'E_C', 'E_F', 'W_C', 'W_F', 'E_C']",1,6.0,6.0,stripes,feet,C,W,E,F,Yes,Webbed,6.0,Yes, Up/Right,4.0
035,"[""It's a bright green color and its stripes indicate that it is healthy"", ""It's still not mature and it doesn't have stripes everywhere and some parts are greener than the other"", ""I'm not sure it looks the same as the previous one that was shown that had a fertility of 4"", ""It's feet are smaller and sharper"", 'It looks about the same as the other', ""It's mature its feet are bigger too and more connected"", ""It's feet are not big and not connected"", ""It has big feet and it's toes are connected\xa0""]",[],"[5.0, 4.0, 9.0, 1.0, 1.0, 10.0, 3.0, 10.0]",519.7997,"['E_C', 'W_F', 'E_F', 'W_C']","[3.0, 10.0, 7.0, 5.0]","['low', 'high', 'high', 'low', 'low', 'high', 'low', 'high']","['C', 'F', 'F', 'C', 'C', 'F', 'C', 'F']","['W', 'E', 'W', 'E', 'W', 'E', 'E', 'W']","['low', 'high', 'high', 'low']",35,"['W_C', 'E_F', 'W_F', 'E_C', 'W_C', 'E_F', 'E_C', 'W_F']",0,6.0,6.0,feet,stripes,F,E,W,C,Yes,Webbed,7.0,Yes, Up/Right,7.0
015,"[""This reptile had problems with fertility due to it's stripes."", 'This reptile was very fertile, receiving a high score of 9.', 'This reptile had the lowest fertility rate, 1, for no known reason.', ""This reptile has a high rating, maybe due to it's upward and to the right stripes."", 'This reptile also had a fairly good rating, and also had the up and to the right stripes.', 'Here, a low rate, and stripes up and to the left.', 'An outlier, so far, a high rating with up and to the left stripes.', 'The highest rating, perhaps due to its up and to the right stripes.']","[""So, I knew there would be an aspect of their claws that were a factor but, from only looking at them one at a time, I wasn't able to spot the difference so couldn't use that in my predictions.""]","[4.0, 9.0, 1.0, 8.0, 7.0, 3.0, 8.0, 10.0]",254.6945,"['W_F', 'E_C', 'E_F', 'W_C']","[5.0, 8.0, 8.0, 8.0]","['low', 'high', 'low', 'high', 'low', 'low', 'high', 'high']","['C', 'F', 'C', 'F', 'C', 'C', 'F', 'F']","['W', 'W', 'E', 'E', 'E', 'W', 'W', 'E']","['high', 'low', 'high', 'low']",15,"['W_C', 'W_F', 'E_C', 'E_F', 'E_C', 'W_C', 'W_F', 'E_F']",1,4.0,1.0,feet,stripes,F,W,E,C,No,,,Yes, Up/Right,5.0
006,"['The reptile has stripes angled up and to the left with curly feet.', 'The reptile has stripes angled up going left with web feet.', 'The reptile has stripes that are angled up and to the right with web feet.', 'The reptile has stripes angled up and to the right with web feet.', 'The reptile has stripes angled up and to the right with web feet.', 'The reptile has stripes angled up and to the left with web feet.', 'The reptile has striped angled up and to the left, with curly feet.']",[],"[5.0, 7.0, 9.0, 3.0, 1.0, 5.0, 7.0, 7.0]",986.0322,"['W_C', 'E_C', 'E_F', 'W_F']","[7.0, 3.0, 5.0, 9.0]","['low', 'high', 'high', 'low', 'low', 'low', 'high', 'high']","['C', 'C', 'F', 'F', 'F', 'C', 'F', 'C']","['E', 'W', 'W', 'E', 'E', 'E', 'W', 'W']","['high', 'low', 'low', 'high']",6,"['E_C', 'W_C', 'W_F', 'E_F', 'E_F', 'E_C', 'W_F', 'W_C']",1,5.0,5.0,stripes,feet,C,E,W,F,Yes,Webbed,5.0,Yes,Up/Left,6.0
038,"['It has multiple stripes and a longer tail making it very attractive to its mate.\xa0', 'It was injured prior and lost respect from the group.\xa0', 'It is older than the other ones. You can see how the mouth differs.\xa0\xa0', 'Very colorful and bright stripes and patterns.\xa0', 'The toes are not as grippy as the other in the wild.', 'Slightly less vibrancy and has been rejected before.\xa0', 'A perfect specimen. Uniform digits and tail length in the top one percent.\xa0', 'Almost a perfect individual. Very powerful legs and stripes.\xa0']",[],"[8.0, 4.0, 3.0, 8.0, 4.0, 4.0, 9.0, 8.0]",346.5375,"['E_F', 'W_C', 'W_F', 'E_C']","[4.0, 6.0, 8.0, 5.0]","['high', 'low', 'low', 'high', 'low', 'low', 'high', 'high']","['C', 'C', 'F', 'F', 'C', 'F', 'C', 'F']","['W', 'E', 'E', 'W', 'E', 'E', 'W', 'W']","['low', 'high', 'high', 'low']",38,"['W_C', 'E_C', 'E_F', 'W_F', 'E_C', 'E_F', 'W_C', 'W_F']",1,2.0,2.0,stripes,feet,C,E,W,F,Yes, Curved/Pointy,4.0,Yes, Up/Right,6.0
