participant,free_texts,feedback,food_amount,trial_stop_time,testing_image_order,testing_responses,training_categories,training_tail,training_shape,training_color,testing_categories,conditionOrder,training_image_order,attention_check,shape_discrete_slider.response,color_discrete_slider.response,tail_discrete_slider.response,shape_direction_slider.response,color_direction_slider.response,tail_direction_slider.response,shape_continuous_slider.response,color_continuous_slider.response,tail_continuous_slider.response
005,"['The sperk was not very hungry', 'The sperk was very hungry', 'this sperk did not like the food too much', 'he liked the red food', 'he really loved the red food', 'he liked the food but was not very hungry', 'he liked the food', 'he liked the food very much', 'he love the food', 'he liked the food and was hungry', 'he was hungry and loved the food', 'he was not hungry', 'he was not hungry', 'he was very hungry and loved the food', 'did not like the food very much', 'he did like the food', 'he did like the food', 'he did like the food', 'he does not like the food', 'he ikes the food', 'he likes the food very uch', 'he does like the food', 'he does not like the food']",[],"[4.0, 1.0, 5.0, 3.0, 4.0, 7.0, 5.0, 5.0, 5.0, 7.0, 6.0, 6.0, 1.0, 1.0, 9.0, 5.0, 5.0, 6.0, 5.0, 3.0, 4.0, 5.0, 4.0, 3.0, 4.0]",397.868,"['T_Y_C', 'N_Y_S', 'T_B_C', 'T_Y_S', 'T_B_S', 'N_B_S', 'N_B_C', 'N_Y_C']","[7.0, 5.0, 6.0, 7.0, 8.0, 3.0, 3.0, 3.0]","['high', 'low', 'medium', 'low', 'medium', 'high', 'medium', 'medium', 'medium', 'medium', 'high', 'medium', 'low', 'low', 'high', 'medium', 'low', 'high', 'high', 'medium', 'low', 'medium', 'medium', 'medium', 'high']","['T', 'N', 'T', 'N', 'N', 'T', 'T', 'N', 'N', 'T', 'T', 'N', 'N', 'N', 'T', 'T', 'N', 'T', 'T', 'T', 'N', 'N', 'N', 'T', 'T']","['S', 'C', 'C', 'C', 'S', 'S', 'C', 'S', 'S', 'C', 'S', 'S', 'C', 'C', 'S', 'C', 'C', 'S', 'S', 'C', 'C', 'S', 'S', 'C', 'S']","['Y', 'B', 'Y', 'Y', 'B', 'B', 'B', 'Y', 'Y', 'B', 'B', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'B', 'Y', 'Y', 'Y']","['medium', 'medium', 'medium', 'high', 'high', 'medium', 'low', 'low']",5,"['T_Y_S', 'N_B_C', 'T_Y_C', 'N_Y_C', 'N_B_S', 'T_B_S', 'T_B_C', 'N_Y_S', 'N_Y_S', 'T_B_C', 'T_B_S', 'N_B_S', 'N_Y_C', 'N_B_C', 'T_Y_S', 'T_Y_C', 'N_Y_C', 'T_B_S', 'T_Y_S', 'T_B_C', 'N_B_C', 'N_B_S', 'N_Y_S', 'T_Y_C', 'T_Y_S']",0,No,Yes,Yes,,Yellow,Having a tail,,4.0,5.0
009,"['It has a square body and no tail.', 'It is yellow and round.', 'It is yellow and has a tail.', 'It has a tail and is blue.', 'It has no tail.', 'It is square and has a tail.', 'It is yellow, square and has a tail.', 'It is yellow and square', 'It is yellow, round and has a tail', 'It has no tail', 'It is blue and square', 'It is yellow and square', 'It is blue, round has has a tail', 'It is yellow, square, has a tail', 'It is blue, square, has a tail', 'It has no tail', 'It has no tail', 'It has a tail', 'It has no tail and is round', 'It is yellow and square', 'It has no tail', 'It has a tail and is square', 'It is round', 'It is square and has a tail']",[':)'],"[6.0, 4.0, 6.0, 5.0, 2.0, 7.0, 9.0, 5.0, 7.0, 4.0, 5.0, 5.0, 6.0, 7.0, 7.0, 4.0, 4.0, 6.0, 5.0, 9.0, 4.0, 8.0, 3.0, 5.0, 6.0]",478.9115,"['N_B_C', 'N_Y_S', 'T_B_S', 'T_Y_S', 'N_Y_C', 'T_B_C', 'N_B_S', 'T_Y_C']","[4.0, 6.0, 8.0, 8.0, 4.0, 7.0, 6.0, 7.0]","['medium', 'low', 'medium', 'medium', 'low', 'high', 'high', 'medium', 'medium', 'low', 'medium', 'medium', 'medium', 'high', 'high', 'low', 'medium', 'medium', 'low', 'medium', 'low', 'high', 'medium', 'high', 'medium']","['N', 'N', 'T', 'T', 'N', 'T', 'T', 'N', 'T', 'N', 'N', 'N', 'T', 'T', 'T', 'N', 'N', 'T', 'N', 'N', 'N', 'T', 'T', 'T', 'N']","['S', 'C', 'C', 'C', 'C', 'S', 'S', 'S', 'C', 'C', 'S', 'S', 'C', 'S', 'S', 'C', 'S', 'C', 'C', 'S', 'C', 'S', 'C', 'S', 'S']","['B', 'Y', 'Y', 'B', 'B', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'B']","['low', 'medium', 'high', 'high', 'low', 'medium', 'medium', 'medium']",9,"['N_B_S', 'N_Y_C', 'T_Y_C', 'T_B_C', 'N_B_C', 'T_B_S', 'T_Y_S', 'N_Y_S', 'T_Y_C', 'N_B_C', 'N_B_S', 'N_Y_S', 'T_B_C', 'T_Y_S', 'T_B_S', 'N_Y_C', 'N_B_S', 'T_Y_C', 'N_Y_C', 'N_Y_S', 'N_B_C', 'T_Y_S', 'T_B_C', 'T_B_S', 'N_B_S']",1,Yes,No,Yes,Square,,Having a tail,5.0,,5.0
024,"['It only needed that much because it looks rather small.', 'It exercised a bit much so it needed more food.', ""It is pretty small so it doesn't need much food."", ""It wasn't feeling well so it didn't want too much to eat."", 'That amount of food looks about right for that size of sperk.', 'It looks like the right amount for that size of sperk.', ""It's a small sperk so it doesn't require too much to eat."", ""It's a rather small sperk so it doesn't have a big appetite."", ""Small sperks usually don't eat very much."", 'This sperk is a bit larger, hence the larger serving of food.', ""For a small sperk, that is a somewhat larger amount of food. Maybe it's activity level increased."", 'That is a normal amount of food for that size of sperk.', ""Perhaps it's activity level decreased."", ""Perhaps the small sperk's activity level increased."", ""This sperk possibly wasn't as hungry as usual."", ""Perhaps this sperk isn't feeling well."", ""Perhaps this sperk's activity level increased."", ""This sperk possibly increased it's activity level."", 'This is a somewhat normal amount of food for this size of sperk.', 'This sperk must be feeling ill.', 'This sperk possibly increased its activity level.', 'This sperk is possibly feeling ill.', 'This is a normal amount of food for this sperk.', 'This sperk possibly increased its activity level.']","[""The task seemed easy, but my memory isn't great so I'm sure I got the different sperks flipped around quite a bit.""]","[6.0, 9.0, 5.0, 3.0, 5.0, 6.0, 3.0, 2.0, 4.0, 6.0, 6.0, 6.0, 5.0, 6.0, 5.0, 2.0, 5.0, 5.0, 5.0, 1.0, 5.0, 2.0, 6.0, 8.0, 6.0]",606.9388,"['T_Y_C', 'N_Y_S', 'T_Y_S', 'N_Y_C', 'T_B_C', 'N_B_C', 'N_B_S', 'T_B_S']","[4.0, 5.0, 6.0, 3.0, 5.0, 3.0, 6.0, 5.0]","['medium', 'high', 'medium', 'medium', 'medium', 'high', 'low', 'low', 'low', 'high', 'medium', 'high', 'medium', 'medium', 'medium', 'low', 'low', 'medium', 'high', 'low', 'medium', 'medium', 'medium', 'high', 'medium']","['N', 'T', 'T', 'T', 'N', 'T', 'N', 'N', 'N', 'T', 'T', 'T', 'N', 'T', 'N', 'N', 'N', 'T', 'T', 'N', 'T', 'N', 'N', 'T', 'N']","['S', 'S', 'C', 'C', 'S', 'S', 'C', 'C', 'C', 'S', 'C', 'S', 'S', 'C', 'S', 'C', 'C', 'C', 'S', 'C', 'C', 'S', 'S', 'S', 'S']","['B', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'B', 'B', 'Y', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'B']","['medium', 'medium', 'high', 'low', 'medium', 'low', 'medium', 'high']",24,"['N_B_S', 'T_B_S', 'T_Y_C', 'T_B_C', 'N_Y_S', 'T_Y_S', 'N_Y_C', 'N_B_C', 'N_Y_C', 'T_B_S', 'T_Y_C', 'T_Y_S', 'N_Y_S', 'T_B_C', 'N_B_S', 'N_B_C', 'N_B_C', 'T_Y_C', 'T_Y_S', 'N_Y_C', 'T_B_C', 'N_Y_S', 'N_B_S', 'T_B_S', 'N_B_S']",1,Yes,No,No,Square,,,2.0,,
021,"['This sperk ate 2 peppers', 'This sperk also ate 2 peppers', 'This square sperk ate more, 4 peppers', 'The square sperk also ate more, 8 peppers. Seems like square sperks eat more', 'This oval sperk at 5 peppers', 'This square sperk ate 7 peppers, keeping with the trend for square ones.\xa0', 'This square one ate 5', 'This oval one ate 4', 'This square one at six peppers', 'This oval one at 4', 'This oval one ate only 2 peppers', 'This square one ate 7', 'This oval sperk ate 4 peppers', 'This oval sperk ate 5', 'This square one ate 6 peppers, keeping with the trend', 'This square one ate 7', 'This oval one only ate 2, keeping with the trend', 'This square one ate 4, a little light for a square sperk', 'This oval sperk ate 4; Reasonable.\xa0', 'This oval sperk ate 5; Less reasonable\xa0', 'This square one ate 5, keeping with the trend', 'This square one at 9 peppers and needs to really think about their life choices', 'This oval one at 2; Reasonable', 'This square one at 6']",[],"[2.0, 2.0, 4.0, 8.0, 5.0, 7.0, 5.0, 4.0, 6.0, 4.0, 2.0, 7.0, 4.0, 5.0, 6.0, 7.0, 2.0, 4.0, 4.0, 5.0, 5.0, 10.0, 2.0, 6.0, 2.0]",305.7446,"['N_Y_S', 'N_B_C', 'T_Y_S', 'T_Y_C', 'N_Y_C', 'T_B_S', 'N_B_S', 'T_B_C']","[6.0, 3.0, 6.0, 3.0, 3.0, 6.0, 6.0, 3.0]","['medium', 'low', 'high', 'high', 'medium', 'medium', 'medium', 'low', 'medium', 'medium', 'low', 'high', 'low', 'medium', 'high', 'medium', 'low', 'medium', 'medium', 'medium', 'medium', 'high', 'low', 'high', 'medium']","['T', 'N', 'T', 'T', 'T', 'N', 'N', 'N', 'N', 'T', 'N', 'T', 'N', 'T', 'T', 'N', 'N', 'N', 'T', 'T', 'N', 'T', 'N', 'T', 'T']","['C', 'C', 'S', 'S', 'C', 'S', 'S', 'C', 'S', 'C', 'C', 'S', 'C', 'C', 'S', 'S', 'C', 'S', 'C', 'C', 'S', 'S', 'C', 'S', 'C']","['Y', 'B', 'Y', 'B', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'Y']","['medium', 'low', 'high', 'medium', 'low', 'high', 'medium', 'medium']",21,"['T_Y_C', 'N_B_C', 'T_Y_S', 'T_B_S', 'T_B_C', 'N_B_S', 'N_Y_S', 'N_Y_C', 'N_B_S', 'T_Y_C', 'N_B_C', 'T_Y_S', 'N_Y_C', 'T_B_C', 'T_B_S', 'N_Y_S', 'N_B_C', 'N_Y_S', 'T_Y_C', 'T_B_C', 'N_B_S', 'T_Y_S', 'N_Y_C', 'T_B_S', 'T_Y_C']",0,No,No,No,,,,,,
023,"['body size', 'energy needed', 'energy needed', 'colour', 'colour', 'child', 'mother', 'adult', 'father', 'child', 'child', 'mother', 'child', 'mother', 'feeding mother', 'child', 'mother feeding', 'mother', 'dad', 'feeing mother', 'child', 'mother', 'child', 'feeding mum']",[],"[2.0, 5.0, 3.0, 6.0, 7.0, 4.0, 9.0, 3.0, 5.0, 1.0, 4.0, 5.0, 5.0, 6.0, 8.0, 5.0, 9.0, 4.0, 4.0, 7.0, 1.0, 7.0, 1.0, 7.0, 2.0]",686.5479,"['T_Y_S', 'T_B_S', 'N_B_C', 'N_B_S', 'T_B_C', 'T_Y_C', 'N_Y_S', 'N_Y_C']","[7.0, 7.0, 3.0, 6.0, 8.0, 8.0, 6.0, 7.0]","['low', 'medium', 'medium', 'medium', 'high', 'medium', 'high', 'low', 'low', 'low', 'medium', 'medium', 'medium', 'high', 'high', 'medium', 'high', 'medium', 'medium', 'medium', 'low', 'medium', 'low', 'high', 'low']","['N', 'T', 'N', 'N', 'T', 'T', 'T', 'N', 'N', 'N', 'N', 'T', 'N', 'T', 'T', 'T', 'T', 'N', 'N', 'T', 'N', 'T', 'N', 'T', 'N']","['C', 'C', 'S', 'S', 'S', 'C', 'S', 'C', 'C', 'C', 'S', 'C', 'S', 'S', 'S', 'C', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'S', 'C']","['B', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'B', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'B']","['high', 'high', 'low', 'medium', 'medium', 'medium', 'medium', 'low']",23,"['N_B_C', 'T_Y_C', 'N_Y_S', 'N_B_S', 'T_Y_S', 'T_B_C', 'T_B_S', 'N_Y_C', 'N_Y_C', 'N_B_C', 'N_Y_S', 'T_B_C', 'N_B_S', 'T_Y_S', 'T_B_S', 'T_Y_C', 'T_B_S', 'N_B_S', 'N_Y_S', 'T_Y_C', 'N_Y_C', 'T_B_C', 'N_B_C', 'T_Y_S', 'N_B_C']",1,Yes,Yes,Yes,Square,Yellow,Having a tail,6.0,5.0,6.0
026,"['It is the average that he eats in a day.', 'It is the average it eats in a day.', 'It is yellow.', 'It is yellow and two circles.', 'It is blue and two circles.', 'It has no tail.', 'It is a circle and square with no tail.', 'It is a circle and square with a tail.', 'It is yellow and two circles with no tail.', 'It has no tail and is yellow.', 'It is a blue circle and square with a tail.', 'It is yellow with a tail and two circles.', 'It is blue, two circles and a tail.', 'It is a circle and square without a tail.', 'It is a yellow circle and square with a tail.', 'It is blue circles with no tail.', 'It is a yellow circle and square with tail.', 'It is two circles with a tail.', 'It is a blue square and circle with a tail.', 'It is yellow with no tail.', 'It is two blue circles.', 'It is two yellow circles.', 'It is two circles with a tail and blue.', 'It is a blue circle and square with no tail.']",['It was somewhat difficult to remember the details of each one over future turns.'],"[6.0, 4.0, 4.0, 5.0, 6.0, 3.0, 2.0, 6.0, 5.0, 6.0, 8.0, 5.0, 6.0, 5.0, 5.0, 5.0, 8.0, 2.0, 7.0, 4.0, 4.0, 3.0, 6.0, 7.0, 6.0]",481.2175,"['T_B_C', 'N_B_C', 'N_Y_C', 'N_B_S', 'T_Y_C', 'N_Y_S', 'T_Y_S', 'T_B_S']","[6.0, 4.0, 3.0, 6.0, 4.0, 5.0, 5.0, 7.0]","['high', 'low', 'medium', 'medium', 'medium', 'low', 'medium', 'high', 'low', 'medium', 'high', 'medium', 'medium', 'medium', 'high', 'low', 'high', 'medium', 'high', 'medium', 'low', 'low', 'medium', 'medium', 'high']","['T', 'N', 'N', 'T', 'T', 'N', 'N', 'T', 'N', 'N', 'T', 'T', 'T', 'N', 'T', 'N', 'T', 'T', 'T', 'N', 'N', 'N', 'T', 'N', 'T']","['S', 'C', 'S', 'C', 'C', 'C', 'S', 'S', 'C', 'S', 'S', 'C', 'C', 'S', 'S', 'C', 'S', 'C', 'S', 'S', 'C', 'C', 'C', 'S', 'S']","['B', 'Y', 'Y', 'Y', 'B', 'B', 'B', 'Y', 'Y', 'Y', 'B', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'Y', 'B', 'B', 'B']","['medium', 'low', 'low', 'medium', 'medium', 'medium', 'high', 'high']",26,"['T_B_S', 'N_Y_C', 'N_Y_S', 'T_Y_C', 'T_B_C', 'N_B_C', 'N_B_S', 'T_Y_S', 'N_Y_C', 'N_Y_S', 'T_B_S', 'T_Y_C', 'T_B_C', 'N_B_S', 'T_Y_S', 'N_B_C', 'T_Y_S', 'T_Y_C', 'T_B_S', 'N_Y_S', 'N_B_C', 'N_Y_C', 'T_B_C', 'N_B_S', 'T_B_S']",1,Yes,Yes,Yes,Square,Blue,Having no tail,5.0,4.0,2.0
001,"['because he had red eyes', 'because he had red eyes', 'because his body was square', 'becaue his body is yellow and square', 'because his eye was red', 'becase his tail is curled', 'because his eye is rex', 'his eye is red', 'his body is square', 'his body is rectangular', 'his body is oval', 'his body is yellow and rectangular', 'his body is yellow', 'his body is oval', 'hes blue', 'hes blue', 'yellow and oval body', ""he's blue"", 'rectangle and blue', 'yellow and oval body', 'blue and rectangle body', 'oval body', 'yellow and rectangle body', 'yellow']",[],"[2.0, 3.0, 7.0, 2.0, 4.0, 4.0, 5.0, 4.0, 6.0, 4.0, 3.0, 6.0, 6.0, 4.0, 7.0, 5.0, 3.0, 5.0, 7.0, 3.0, 5.0, 2.0, 5.0, 4.0, 2.0]",448.675,"['T_Y_C', 'T_Y_S', 'N_B_C', 'N_Y_C', 'T_B_S', 'T_B_C', 'N_B_S', 'N_Y_S']","[2.0, 6.0, 4.0, 3.0, 5.0, 5.0, 5.0, 6.0]","['low', 'low', 'high', 'medium', 'high', 'medium', 'medium', 'medium', 'high', 'high', 'low', 'medium', 'medium', 'medium', 'medium', 'low', 'medium', 'medium', 'high', 'low', 'medium', 'low', 'high', 'medium', 'low']","['N', 'N', 'T', 'N', 'T', 'T', 'N', 'T', 'T', 'T', 'N', 'N', 'T', 'T', 'N', 'N', 'T', 'T', 'T', 'N', 'N', 'N', 'T', 'N', 'N']","['C', 'C', 'S', 'S', 'S', 'C', 'S', 'C', 'S', 'S', 'C', 'S', 'C', 'C', 'S', 'C', 'C', 'C', 'S', 'C', 'S', 'C', 'S', 'S', 'C']","['Y', 'B', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'B', 'Y', 'B', 'B', 'Y', 'B', 'B', 'Y', 'Y', 'Y']","['medium', 'high', 'low', 'low', 'high', 'medium', 'medium', 'medium']",1,"['N_Y_C', 'N_B_C', 'T_B_S', 'N_Y_S', 'T_Y_S', 'T_Y_C', 'N_B_S', 'T_B_C', 'T_Y_S', 'T_B_S', 'N_Y_C', 'N_Y_S', 'T_Y_C', 'T_B_C', 'N_B_S', 'N_B_C', 'T_Y_C', 'T_B_C', 'T_B_S', 'N_Y_C', 'N_B_S', 'N_B_C', 'T_Y_S', 'N_Y_S', 'N_Y_C']",0,Yes,Yes,No,Square,Yellow,,5.0,5.0,
028,"['Yellow rectangle tail', 'Yellow circle no tail', 'Yellow rectangle no tail', 'Yellow circle tail', 'Blue circle no tail', 'Blue tail rectangle', 'Blue rectangle\xa0', 'Blue circle tail', 'Blue rectangle tail', 'Yellow tail circle', 'Yellow tail rectangle\xa0', 'Yellow circle', 'Blue tail circle', 'Blue circle', 'Blue rectangle\xa0', 'Yellow rectangle\xa0', 'Blue circle', 'Blue rectangle\xa0', 'Yellow rectangle\xa0', 'Blue tail circle', 'Yellow tail circle', 'Yellow tail rectangle\xa0', 'Yellow circle', 'Blue tail rectangle\xa0']",['Fun'],"[5.0, 4.0, 4.0, 4.0, 5.0, 8.0, 4.0, 6.0, 8.0, 6.0, 5.0, 3.0, 3.0, 4.0, 5.0, 5.0, 1.0, 5.0, 5.0, 6.0, 4.0, 10.0, 2.0, 8.0, 5.0]",256.858,"['N_Y_C', 'T_B_S', 'N_B_C', 'T_Y_C', 'T_B_C', 'N_Y_S', 'N_B_S', 'T_Y_S']","[4.0, 5.0, 4.0, 4.0, 6.0, 3.0, 4.0, 6.0]","['high', 'low', 'medium', 'medium', 'low', 'high', 'medium', 'medium', 'high', 'medium', 'high', 'low', 'medium', 'low', 'medium', 'medium', 'low', 'medium', 'medium', 'medium', 'medium', 'high', 'low', 'high', 'high']","['T', 'N', 'N', 'T', 'N', 'T', 'N', 'T', 'T', 'T', 'T', 'N', 'T', 'N', 'N', 'N', 'N', 'N', 'N', 'T', 'T', 'T', 'N', 'T', 'T']","['S', 'C', 'S', 'C', 'C', 'S', 'S', 'C', 'S', 'C', 'S', 'C', 'C', 'C', 'S', 'S', 'C', 'S', 'S', 'C', 'C', 'S', 'C', 'S', 'S']","['Y', 'Y', 'Y', 'Y', 'B', 'B', 'B', 'B', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'B', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'Y']","['low', 'high', 'low', 'medium', 'medium', 'medium', 'medium', 'high']",28,"['T_Y_S', 'N_Y_C', 'N_Y_S', 'T_Y_C', 'N_B_C', 'T_B_S', 'N_B_S', 'T_B_C', 'T_B_S', 'T_Y_C', 'T_Y_S', 'N_Y_C', 'T_B_C', 'N_B_C', 'N_B_S', 'N_Y_S', 'N_B_C', 'N_B_S', 'N_Y_S', 'T_B_C', 'T_Y_C', 'T_Y_S', 'N_Y_C', 'T_B_S', 'T_Y_S']",1,Yes,Yes,Yes,Square,Blue,,2.0,2.0,2.0
030,"['It has two legs and a red eye and that means it eats two peppers.', 'This blue sperk has a tail and so the amount it eats is multiplied by 4', ""This sperk's body is a rectangle so it eats slightly less than the sperks with an oval shaped body."", 'This sperk has no tail so it has slightly less need for food then the sperk with the rectangular body and the tail.', 'This yellow sperk does not have a tail nor a rectangular body and is yellow so it eats less then the blue sperk with the same features.', 'This yellow sperk has a rectangular body and a tail so it eats about 6 peppers or food.', ""This sperk is yellow and has a tail and has a oval shaped body but because it's yellow it eats less than the blue sperk with the same features so it only eats 6 food."", 'This sperk has a rectangular body but no tail but it ate a lot today because it was overfed.', 'This sperk has a rectangular body and a tail and so it is eating slightly less than it usually does which is 6\xa0 or 7 food.', ""This sperk has a rectangular body and no tail so it eats more less than one of it's kind would with a tail."", ""This sperk has a rectangular body and a tail which means it eats less than it's counterpart with an oval body and a tail and that is the same color so it only eats 6 food."", ""This sperk is being overfed as it has a rectangular body and no tail which means it shouldn't eat this much food."", 'This sperk is being underfed as I have seen it ate 8 food at another point. This sperk has an oval shaped body, is blue and has a tail which means it should eat the most.', ""This sperk has an oval shaped body and a tail but is yellow and so it eats less than it's blue counterpart on average so that is why it ate 5 food."", 'This sperk has an oval shaped body and no tail but is blue so it is being underfed slightly in eating only one food.', 'This sperk has an oval shaped body, is yellow and has no tail so it is being overfed slightly in having to eat four food.', 'This sperk is being fed the right amount as it has no tail and thus needs less food.', 'This sperk is being overfed as it has no tail and is yellow which means it needs to consume less food on average then blue sperks. It also has a rectangular shaped body which means it eats less.', 'This sperk has a rectangular shaped body, is yellow and has a tail which means it needs between 5 and 7 food which means it is being overfed with 9 food.', 'This sperk is yellow and has an oval shaped body which means it is slightly being overfed with four food.', 'This sperk ate this food amount because it is blue, has a rectangular shaped body and has a tail.', 'This sperk ate this amount because it is blue, has an oval shaped body and has a tail.', 'This sperk ate this amount because it is the lower end of what it can eat and because it is yellow, has an oval shaped body and has a tail.', 'This sperk ate this amount because it is being overfed. It has no tail and has a rectangular shaped body which means it should need less to sustain itself when compared to the oval shaped body and tail having sperk counterparts.']",['There was nothing clear nor confusing. It was hard trying to figure out in my head what the average amount the sperks ate was but that was part of the study I guess. I did not write any notes.'],"[2.0, 8.0, 7.0, 6.0, 1.0, 6.0, 6.0, 5.0, 5.0, 4.0, 6.0, 6.0, 3.0, 5.0, 1.0, 4.0, 2.0, 5.0, 9.0, 4.0, 7.0, 5.0, 5.0, 7.0, 2.0]",846.1921,"['N_Y_C', 'T_B_C', 'T_Y_S', 'N_B_C', 'T_Y_C', 'T_B_S', 'N_B_S', 'N_Y_S']","[4.0, 9.0, 5.0, 3.0, 6.0, 7.0, 2.0, 3.0]","['low', 'medium', 'high', 'medium', 'low', 'high', 'medium', 'medium', 'high', 'medium', 'high', 'medium', 'medium', 'medium', 'low', 'low', 'low', 'medium', 'high', 'low', 'high', 'medium', 'medium', 'medium', 'low']","['N', 'T', 'T', 'N', 'N', 'T', 'T', 'N', 'T', 'N', 'T', 'N', 'T', 'T', 'N', 'N', 'N', 'N', 'T', 'N', 'T', 'T', 'T', 'N', 'N']","['C', 'C', 'S', 'S', 'C', 'S', 'C', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C', 'S', 'S', 'C', 'S', 'C', 'C', 'S', 'C']","['B', 'B', 'B', 'B', 'Y', 'Y', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'B']","['low', 'medium', 'high', 'low', 'medium', 'high', 'medium', 'medium']",30,"['N_B_C', 'T_B_C', 'T_B_S', 'N_B_S', 'N_Y_C', 'T_Y_S', 'T_Y_C', 'N_Y_S', 'T_Y_S', 'N_B_S', 'T_B_S', 'N_Y_S', 'T_B_C', 'T_Y_C', 'N_B_C', 'N_Y_C', 'N_B_C', 'N_Y_S', 'T_Y_S', 'N_Y_C', 'T_B_S', 'T_B_C', 'T_Y_C', 'N_B_S', 'N_B_C']",1,Yes,Yes,Yes,Circular,Blue,Having a tail,5.0,6.0,2.0
003,"['It is still growing so it needs a lot of nutrients.', 'It is in the phase of becoming bigger so it needs a lot of food.', 'It has a circular stomach so it needs less food.', 'It has a circular stomach so it does not need a lot of food.', 'It only needs a little bit of food due to stomach size.', 'It has a rectangular stomach so it only needs a small amout of food.', 'It has a circular stomach and is small so it does not need a lot of food.', 'It has a rectangular stomach so it needs a sufficient but small amount of food.', 'It has a circular stomach so it can only hold so much food.', 'It has a circular stomach so the stomach does not hold food well.', 'This sperk has a rectangular stomach so it can eat a moderate amount of food.', 'This sperk has a circular stomach so it can eat a moderate amount of food.', 'It has a rectangular stomach so it can eat a moderate supply of food.', 'It wants to get bigger and is growing so it needs extra food.', 'It needs a lot of food because it is growing and needs nutrients.', 'It has a big stomach so it does not need a lot of food.', 'It has a big stomach so it does not need a large amount of food.', 'It needs a lot of food to get the nutrients for its stomach size.', 'It only needs a little bit of food due to stomach size. It looks like it is swelling.', 'It is growing so it needs extra food.', 'It is in the process of growing so it needs a lot of food.', 'It needs nutrients to help its stomach from swelling.', 'It has a rectangular stomach so it can hold more food.', ""It has a circular stomach so it can't hold as much food.""]",['The task was somewhat difficult. It was kind of hard to know what to write in the boxes.'],"[9.0, 7.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 5.0, 3.0, 5.0, 5.0, 5.0, 6.0, 8.0, 5.0, 5.0, 7.0, 3.0, 6.0, 9.0, 5.0, 9.0, 6.0, 9.0]",438.6395,"['T_B_S', 'T_Y_C', 'T_B_C', 'T_Y_S', 'N_Y_S', 'N_B_C', 'N_B_S', 'N_Y_C']","[8.0, 5.0, 4.0, 8.0, 5.0, 4.0, 8.0, 5.0]","['high', 'high', 'medium', 'medium', 'low', 'medium', 'low', 'medium', 'low', 'low', 'medium', 'medium', 'medium', 'high', 'high', 'medium', 'medium', 'medium', 'low', 'medium', 'high', 'low', 'high', 'medium', 'high']","['T', 'T', 'T', 'T', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'T', 'N', 'T', 'T', 'T', 'T', 'N', 'N', 'N', 'T', 'N', 'T', 'T', 'T']","['S', 'S', 'C', 'C', 'C', 'S', 'C', 'S', 'C', 'C', 'S', 'C', 'S', 'S', 'S', 'C', 'C', 'S', 'C', 'S', 'S', 'C', 'S', 'C', 'S']","['B', 'Y', 'Y', 'B', 'B', 'B', 'Y', 'Y', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'Y', 'B', 'Y', 'Y', 'Y', 'B', 'B', 'B', 'B']","['high', 'medium', 'medium', 'high', 'medium', 'low', 'medium', 'low']",3,"['T_B_S', 'T_Y_S', 'T_Y_C', 'T_B_C', 'N_B_C', 'N_B_S', 'N_Y_C', 'N_Y_S', 'N_B_C', 'N_Y_C', 'N_B_S', 'T_Y_C', 'N_Y_S', 'T_Y_S', 'T_B_S', 'T_B_C', 'T_Y_C', 'N_B_S', 'N_Y_C', 'N_Y_S', 'T_Y_S', 'N_B_C', 'T_B_S', 'T_B_C', 'T_B_S']",1,Yes,Yes,No,Square,Blue,,5.0,5.0,
