participant,free_texts,feedback,fertility_score,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_stripes,testing_categories,conditionOrder,training_image_order,attention_check,cogpro_predict,cogpro_explain,stimuli_clicks,reference_clicks,relevant_dim,irrelevant_dim,feet_high,stripes_low,stripes_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,stripes_discrete_slider.response,stripes_direction_slider.response,stripes_continuous_slider.response
003,"['Maybe because the line pattern is different than others.', 'Maybe because the line pattern is facing a different direction from others.', 'The line pattern direction is different from others.', 'Line pattern direction is different from others.', 'Maybe because the breeding seasons might be different.', 'This line pattern used to have a higher fertility score, so maybe this is at a different breeding season.', 'This is the same line pattern direction and score from last one.', 'I think this is definitely depends on breeding seasons.']",['I did not see at the beginning. But during the comparison I also realized the leaf sizes are different. So maybe environment also a factor.'],"[6.0, 8.0, 6.0, 8.0, 2.0, 5.0, 5.0, 8.0]",284.926,"['E_F', 'W_C', 'W_F', 'E_C']","[6.0, 8.0, 6.0, 8.0]","['low', 'low', 'high', 'high', 'low', 'high', 'low', 'high']","['C', 'C', 'F', 'F', 'C', 'F', 'C', 'F']","['W', 'E', 'W', 'E', 'W', 'E', 'E', 'W']","['high', 'low', 'high', 'low']",3,"['W_C', 'E_C', 'W_F', 'E_F', 'W_C', 'E_F', 'E_C', 'W_F']",0,5.0,5.0,6.0,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]",feet,stripes,F,W,E,C,No,,,Yes, Up/Right,7.0
025,"['The reptile was moderately fertile', 'The reptile was low in fertility', 'The reptile was a little fertile', 'The reptile was somewhat fertile', 'The reptile was little fertile', 'The reptile had low fertility', 'The fertile was much fertile', 'The reptile was a little fertile.']",['There were no differences that I thought could matter about fertility.'],"[7.0, 2.0, 3.0, 6.0, 4.0, 2.0, 10.0, 3.0]",351.7772,"['E_F', 'W_F', 'E_C', 'W_C']","[9.0, 2.0, 3.0, 4.0]","['high', 'low', 'low', 'high', 'high', 'low', 'high', 'low']","['C', 'F', 'F', 'C', 'C', 'F', 'C', 'F']","['W', 'E', 'W', 'E', 'E', 'E', 'W', 'W']","['low', 'low', 'high', 'high']",25,"['W_C', 'E_F', 'W_F', 'E_C', 'E_C', 'E_F', 'W_C', 'W_F']",0,6.0,5.0,5.0,"[2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 0.0, 0.0]",feet,stripes,C,E,W,F,No,,,No,,
009,"['This reptile has different feet compared to the other reptiles on the bottom.', 'This reptile has different feet and stripes that go in the other direction.', 'The size of this reptile look bigger than the one on the bottom plus is has pointer feet.', 'This one has more rounded feet and has a smaller leaf.']",[],"[7.0, 6.0, 8.0, 1.0, 5.0, 5.0, 6.0, 6.0]",534.6947,"['W_F', 'W_C', 'E_C', 'E_F']","[5.0, 5.0, 8.0, 6.0]","['high', 'low', 'high', 'low', 'high', 'low', 'low', 'high']","['C', 'F', 'C', 'F', 'C', 'F', 'F', 'C']","['W', 'E', 'E', 'W', 'W', 'W', 'E', 'E']","['low', 'high', 'high', 'low']",9,"['W_C', 'E_F', 'E_C', 'W_F', 'W_C', 'W_F', 'E_F', 'E_C']",0,4.0,5.0,4.0,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,C,W,E,F,No,,,Yes, Up/Right,6.0
013,"['the number of stripes it has', 'the lighter shade of green', 'more shadows', 'wide eyes', 'dark stripes', 'yellow eyes', 'light lines', 'lighter green']",['no'],"[7.0, 3.0, 6.0, 2.0, 8.0, 10.0, 2.0, 4.0]",190.1955,"['E_F', 'W_C', 'E_C', 'W_F']","[7.0, 4.0, 4.0, 8.0]","['high', 'low', 'high', 'low', 'high', 'high', 'low', 'low']","['C', 'F', 'C', 'F', 'C', 'C', 'F', 'F']","['W', 'W', 'E', 'E', 'E', 'W', 'W', 'E']","['low', 'high', 'high', 'low']",13,"['W_C', 'W_F', 'E_C', 'E_F', 'E_C', 'W_C', 'W_F', 'E_F']",1,6.0,6.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,C,E,W,F,No,,,No,,
004,"['Toes close together and lighter chest', 'Toes wide and lighter chest', 'Toes wide and lighter chest', 'Toes close and lighter chest', 'Toes close, left slant lines', 'Toes wide, left slant', 'Toes close, right slant', 'Toes wide, right slant']",['I thought the chests had slightly lighter or darker color'],"[5.0, 7.0, 2.0, 6.0, 2.0, 3.0, 9.0, 8.0]",332.571,"['E_C', 'E_F', 'W_C', 'W_F']","[8.0, 8.0, 3.0, 5.0]","['low', 'high', 'low', 'high', 'low', 'low', 'high', 'high']","['F', 'C', 'C', 'F', 'F', 'C', 'F', 'C']","['W', 'E', 'W', 'E', 'W', 'W', 'E', 'E']","['high', 'high', 'low', 'low']",4,"['W_F', 'E_C', 'W_C', 'E_F', 'W_F', 'W_C', 'E_F', 'E_C']",0,6.0,6.0,5.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",stripes,feet,F,W,E,C,Yes,Webbed,4.0,Yes, Up/Right,6.0
033,"['Horizonal stripes', 'Vertical stripes', 'horizonal stripes', 'vertical stripes', 'vertical stripes', 'vertical stripes', 'horizonal stripes', 'horizonal stripes']","[""I don't feel like this was explained very well. The reptiles looked too similar.\xa0""]","[3.0, 5.0, 4.0, 7.0, 3.0, 9.0, 8.0, 4.0]",185.0703,"['E_C', 'W_F', 'E_F', 'W_C']","[7.0, 4.0, 6.0, 6.0]","['high', 'low', 'low', 'high', 'low', 'high', 'high', 'low']","['C', 'F', 'F', 'C', 'F', 'C', 'C', 'F']","['W', 'E', 'W', 'E', 'E', 'E', 'W', 'W']","['high', 'low', 'low', 'high']",33,"['W_C', 'E_F', 'W_F', 'E_C', 'E_F', 'E_C', 'W_C', 'W_F']",1,1.0,1.0,2.0,"[3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,C,W,E,F,No,,,No,,
012,"['stripes sitting at 7 - 9 fertility', 'stripes sitting at 4 - 2 fertility', 'stripes sitting at 4 - 3 fertility', '7 fertility\xa0', 'sitting at 7 - 10 fertility\xa0', 'sitting at 4 - 1 fertility\xa0', '8 fertility\xa0', '4 fertility\xa0']","['just the stripes and the feet, everything else seemed to be exactly the same\xa0']","[9.0, 2.0, 3.0, 7.0, 10.0, 1.0, 8.0, 4.0]",289.2604,"['E_F', 'E_C', 'W_F', 'W_C']","[9.0, 8.0, 3.0, 2.0]","['high', 'low', 'low', 'high', 'high', 'low', 'high', 'low']","['C', 'F', 'C', 'F', 'C', 'F', 'F', 'C']","['E', 'W', 'W', 'E', 'E', 'W', 'E', 'W']","['high', 'high', 'low', 'low']",12,"['E_C', 'W_F', 'W_C', 'E_F', 'E_C', 'W_F', 'E_F', 'W_C']",1,5.0,6.0,3.0,"[2.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0]",stripes,feet,C,W,E,F,No,,,Yes, Up/Right,6.0
001,"['Vertical stripes and a bigger leaf to eat', 'Horizontal stripes and big leaf', 'Vertical stripes and small leaf', 'Vertical stripes and small leaf', 'horizontal stripes and small leaf', 'vertical stripes and big leaf', 'horizontal stripes and big food', 'vertical stripes and smaller food']",['The size of the leaf next to their feet'],"[7.0, 5.0, 2.0, 5.0, 5.0, 7.0, 6.0, 5.0]",235.083,"['W_C', 'E_C', 'W_F', 'E_F']","[5.0, 7.0, 4.0, 5.0]","['high', 'high', 'low', 'low', 'low', 'high', 'high', 'low']","['C', 'C', 'F', 'F', 'F', 'C', 'C', 'F']","['E', 'W', 'W', 'E', 'W', 'E', 'W', 'E']","['high', 'high', 'low', 'low']",1,"['E_C', 'W_C', 'W_F', 'E_F', 'W_F', 'E_C', 'W_C', 'E_F']",1,7.0,4.0,3.0,"[1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",feet,stripes,C,W,E,F,No,,,Yes, Up/Right,5.0
036,"['This reptile could be a frequent breeder, so they know their own patterns best and are able to regulate fertility. Their stripes appear to be slightly darker than the others, and are a different direction.', 'the swollen right eye with a dark ring is an indicator of fertility.\xa0', 'The stripes are going the opposite way of the first reptile, that could mean they are less fertile than the first one.\xa0', ""I'm beginning to see that the ones having these stripes have more offspring than the other two."", 'Again, the ones with these directional stripes have fewer offspring.', 'This one has rounded toes, which could also mean increased offspring.\xa0', 'Rounded toes and this stripe direction could mean a superior fertility season.', 'This one is the highest rated of all, and this stripe pattern has consistently shown higher numbers, except once.\xa0']","[""Interesting study, thank you. I also looked for indicators of captivity, thinking that could have an effect on their reproduction, and I noticed the sticks they were perched on were all different in color, but it wasn't a consistent indicator as to whether or not they were in the wild. I also wondered about the different foliage in each picture, to see if one was fall or spring, but the pics didn't really yield any info re: that.\xa0""]","[9.0, 4.0, 4.0, 6.0, 4.0, 6.0, 7.0, 10.0]",829.023,"['E_C', 'E_F', 'W_C', 'W_F']","[10.0, 6.0, 4.0, 7.0]","['high', 'low', 'low', 'high', 'low', 'low', 'high', 'high']","['F', 'C', 'F', 'C', 'C', 'F', 'F', 'C']","['E', 'W', 'W', 'E', 'W', 'W', 'E', 'E']","['high', 'high', 'low', 'low']",36,"['E_F', 'W_C', 'W_F', 'E_C', 'W_C', 'W_F', 'E_F', 'E_C']",1,7.0,5.0,8.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",stripes,feet,F,W,E,C,Yes, Curved/Pointy,4.0,Yes, Up/Right,5.0
011,"['The reptiles seem to have a similar healthy appearance.\xa0', 'One of the reptiles is slightly larger than the other and a slightly different coloration.', 'It appears one reptile is slightly larger than the rest and another, has slightly different color depth.', 'Two patterns of stripes and two pairs of halthy reptiles with only slight difference in size maybe with one pair.', 'the eyes between the two pairs, seem to differ. Reptiles on left side seem to have yellow color, with bottom right corner seems to be individually smaller than the rest.', 'Slightly larger eyes to reptile in the top right corner.', 'Do not see any indications of any issues. Probably explains the high score.', 'topright corner; reptile appears to have slightly larger eyes. bottom right corner; reptile seems to have slightly smaller features.']","['There was an attention question asking i think whatb the survey was about and might have clicked wrong choice there,\xa0good study, thankyou']","[9.0, 4.0, 6.0, 9.0, 6.0, 4.0, 10.0, 5.0]",1147.6945,"['W_C', 'E_C', 'E_F', 'W_F']","[4.0, 6.0, 7.0, 3.0]","['high', 'low', 'low', 'high', 'high', 'low', 'high', 'low']","['F', 'C', 'C', 'F', 'F', 'C', 'F', 'C']","['E', 'W', 'E', 'W', 'W', 'E', 'E', 'W']","['low', 'low', 'high', 'high']",11,"['E_F', 'W_C', 'E_C', 'W_F', 'W_F', 'E_C', 'E_F', 'W_C']",0,7.0,7.0,8.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",feet,stripes,F,W,E,C,Yes, Curved/Pointy,6.0,Yes, Up/Right,4.0
026,"['9', '8\xa0', '5', '10', '5', '7', '4']",['It was an interesting study.'],"[5.0, 9.0, 8.0, 5.0, 10.0, 5.0, 7.0, 4.0]",203.341,"['W_F', 'E_F', 'E_C', 'W_C']","[6.0, 7.0, 7.0, 7.0]","['low', 'high', 'low', 'high', 'high', 'low', 'high', 'low']","['C', 'F', 'F', 'C', 'C', 'C', 'F', 'F']","['E', 'W', 'E', 'W', 'W', 'E', 'W', 'E']","['high', 'low', 'low', 'high']",26,"['E_C', 'W_F', 'E_F', 'W_C', 'W_C', 'E_C', 'W_F', 'E_F']",0,6.0,5.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",stripes,feet,F,E,W,C,Yes, Curved/Pointy,4.0,Yes,Up/Left,5.0
007,"['Likely created offspring that did not blend well with the surrounding environment, so was vulnerable to preditors.', 'Angle of the stripes may better\xa0mimic the look of rays of sunlight that come through the trees and land on the ground, making the offspring blend better.', ""I would imagine in most of these situations, it's all about the offspring not being eaten by predators, so it has to have something to do with the pattern of the stripes."", 'The foliage of the environment may have changed and the stripes no longer blend in well.', 'An invasive species of plant has moved into the region and has made this pattern better at helping with survival.', 'The thin green stripes make it more vulnerable.\xa0 Most of the surrounding foliage is very green, so having less green on your body makes you a target for predators.', 'Less dark green and more light green makes them more vulnerable to predators.', 'More vegetation has disappeared and allowing more sunlight to penetrate to the ground and making the lighter green better at blending in with the sunlit surface.']",[],"[4.0, 8.0, 9.0, 4.0, 5.0, 1.0, 1.0, 10.0]",541.1143,"['W_F', 'E_C', 'E_F', 'W_C']","[2.0, 9.0, 7.0, 2.0]","['low', 'high', 'high', 'low', 'high', 'low', 'low', 'high']","['C', 'F', 'F', 'C', 'F', 'C', 'C', 'F']","['W', 'E', 'W', 'E', 'E', 'E', 'W', 'W']","['high', 'low', 'high', 'low']",7,"['W_C', 'E_F', 'W_F', 'E_C', 'E_F', 'E_C', 'W_C', 'W_F']",0,7.0,7.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,F,E,W,C,No,,,No,,
005,"['He was born bigger than the majority of reptiles..and that provided increased fertility\xa0', 'It was malnourished at the beginning of its life', 'Has different type of genetics so stripes are different\xa0', 'Type of reptile which has inferior genes', 'It had the inferior genetics aswell\xa0', 'It had betrer genes due to a different father', 'Of reptile which has a different father and has a different stripes Type\xa0', 'This one is strange.\xa0 Maybe had different father']",['Nope'],"[10.0, 3.0, 6.0, 4.0, 4.0, 7.0, 8.0, 8.0]",658.56,"['E_C', 'W_C', 'W_F', 'E_F']","[8.0, 3.0, 4.0, 7.0]","['high', 'low', 'high', 'low', 'low', 'high', 'low', 'high']","['C', 'F', 'C', 'F', 'F', 'C', 'F', 'C']","['E', 'E', 'W', 'W', 'W', 'E', 'E', 'W']","['high', 'high', 'low', 'low']",5,"['E_C', 'E_F', 'W_C', 'W_F', 'W_F', 'E_C', 'E_F', 'W_C']",1,5.0,7.0,13.0,"[6.0, 1.0, 5.0, 1.0, 1.0, 4.0, 1.0, 1.0]",feet,stripes,C,W,E,F,No,,,Yes,Up/Left,6.0
040,"['The reason is because they have vertical stripes.', 'It is because they have horizontal stripes', 'Because the stripes were not clearly distinguished as horizontal or vertical.\xa0', 'Because they have vertical system.', 'Because of the horizontal stripes.', 'because of the webbed feet.', 'because of the non webbed feet.', 'because of the dark vertical stripes.']",[],"[8.0, 3.0, 5.0, 8.0, 1.0, 3.0, 6.0, 4.0]",527.9246,"['E_F', 'E_C', 'W_C', 'W_F']","[5.0, 8.0, 7.0, 7.0]","['high', 'low', 'low', 'high', 'low', 'high', 'low', 'high']","['F', 'F', 'C', 'C', 'F', 'F', 'C', 'C']","['E', 'W', 'W', 'E', 'W', 'E', 'W', 'E']","['high', 'high', 'low', 'low']",40,"['E_F', 'W_F', 'W_C', 'E_C', 'W_F', 'E_F', 'W_C', 'E_C']",1,3.0,7.0,3.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]",stripes,feet,C,W,E,F,Yes, Curved/Pointy,7.0,No,,
038,"['the reptile is middle of the pack when it comes to fertility.', 'the reptile has left stripes and short fingers', 'the reptile has left stripes', 'the reptile has right stripes and short fingers', 'the reptile has left stripes', 'the reptile has right stripes and long fingers', 'the reptile has right stripes and short fingers', 'the reptile has left stripes and long fingers']",['none'],"[5.0, 8.0, 8.0, 1.0, 8.0, 5.0, 3.0, 5.0]",166.8066,"['W_F', 'E_C', 'W_C', 'E_F']","[7.0, 5.0, 9.0, 3.0]","['low', 'high', 'high', 'low', 'high', 'low', 'low', 'high']","['C', 'F', 'C', 'F', 'F', 'C', 'F', 'C']","['E', 'W', 'W', 'E', 'W', 'E', 'E', 'W']","['high', 'low', 'high', 'low']",38,"['E_C', 'W_F', 'W_C', 'E_F', 'W_F', 'E_C', 'E_F', 'W_C']",1,7.0,7.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",stripes,feet,C,E,W,F,Yes, Curved/Pointy,2.0,Yes,Up/Left,7.0
019,"[""I don't understand"", 'what is happening?', 'instructions unclear']",['the instructions were unclear. you should dhave just said its a stupid matching game.'],"[8.0, 10.0, 4.0, 2.0, 5.0, 10.0, 6.0, 3.0]",177.5353,"['W_F', 'E_F', 'E_C', 'W_C']","[1.0, 1.0, 1.0, 1.0]","['high', 'high', 'low', 'low', 'low', 'high', 'high', 'low']","['F', 'F', 'C', 'C', 'C', 'F', 'F', 'C']","['W', 'E', 'W', 'E', 'W', 'E', 'W', 'E']","['high', 'high', 'low', 'low']",19,"['W_F', 'E_F', 'W_C', 'E_C', 'W_C', 'E_F', 'W_F', 'E_C']",1,1.0,1.0,8.0,"[3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",feet,stripes,F,W,E,C,No,,,No,,
